#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPL13A	RPS6	4445957	4445386	9606.ENSP00000375730	9606.ENSP00000369757	0	0	0	0	0.996	0.991	0.900	0.510	0.999
RPS8	RPL8	4446579	4435108	9606.ENSP00000379888	9606.ENSP00000262584	0	0	0	0	0.997	0.992	0.900	0.748	0.999
RPS29	RPS23	4446487	4437320	9606.ENSP00000379339	9606.ENSP00000296674	0.167	0	0	0	0.990	0.957	0.900	0.673	0.999
RPL12	RPS17	4442534	4441582	9606.ENSP00000354739	9606.ENSP00000346046	0	0	0	0	0.983	0.992	0.900	0.627	0.999
RPS24	RPS7	4448728	4440923	9606.ENSP00000414321	9606.ENSP00000339095	0	0	0	0	0.999	0.980	0.900	0.754	0.999
RPLP0	RPL12	4450282	4442534	9606.ENSP00000449328	9606.ENSP00000354739	0.167	0	0	0	0.997	0.985	0.900	0.571	0.999
RPS24	RPS8	4448728	4446579	9606.ENSP00000414321	9606.ENSP00000379888	0	0	0	0	0.995	0.991	0.900	0.830	0.999
RPS24	RPS14	4448728	4447293	9606.ENSP00000414321	9606.ENSP00000385958	0	0	0	0	0.997	0.991	0.900	0.870	0.999
RPS7	RPS23	4440923	4437320	9606.ENSP00000339095	9606.ENSP00000296674	0	0	0	0	0.993	0.992	0.900	0.370	0.999
RPL5	RPS2	4443502	4441195	9606.ENSP00000359345	9606.ENSP00000341885	0.219	0	0	0	0.991	0.984	0.900	0.702	0.999
RPL30	RPL9	4449429	4448124	9606.ENSP00000428085	9606.ENSP00000400467	0	0	0	0	0.996	0.992	0.900	0.790	0.999
RPS9	RPL8	4437909	4435108	9606.ENSP00000302896	9606.ENSP00000262584	0.167	0	0	0	0.988	0.992	0.900	0.589	0.999
RPS8	RPS16	4446579	4434174	9606.ENSP00000379888	9606.ENSP00000251453	0	0	0	0	0.997	0.992	0.900	0.817	0.999
RPS5	GNB2L1	4451050	4449378	9606.ENSP00000472985	9606.ENSP00000426909	0	0	0	0	0.995	0.967	0	0.299	0.999
RPL5	RPS15A	4443502	4439216	9606.ENSP00000359345	9606.ENSP00000318646	0.219	0	0	0	0.997	0.986	0.900	0.562	0.999
RPL6	RPS15A	4448260	4439216	9606.ENSP00000403172	9606.ENSP00000318646	0.135	0	0	0	0.995	0.986	0.900	0.639	0.999
